100 922
12 53 9
12 67 7
12 69 9
12 75 9
12 88 7
12 99 10
13 15 1
13 19 2
13 33 1
13 36 1
13 41 9
13 43 6
13 56 10
13 57 5
13 59 2
13 61 1
13 74 3
13 79 10
13 83 5
13 91 9
13 95 2
13 96 9
14 20 7
14 28 8
14 29 3
14 34 8
14 38 8
14 42 6
14 47 3
14 48 9
14 51 6
14 54 8
14 60 2
14 62 9
14 65 5
14 87 6
14 89 10
14 99 2
15 17 3
15 24 4
15 30 1
15 34 1
15 40 4
15 52 2
15 53 3
15 54 5
15 61 4
15 67 4
15 70 7
15 72 2
15 74 4
15 75 4
15 84 3
15 91 2
15 93 4
15 96 9
16 22 8
16 23 9
16 24 3
16 29 4
16 31 2
16 35 2
16 43 4
16 53 1
16 64 7
16 68 4
16 69 9
16 71 5
16 78 6
16 82 6
16 88 9
16 92 7
16 93 7
17 25 7
17 35 4
17 36 4
17 45 7
17 48 2
17 49 6
17 55 3
17 56 9
17 57 6
17 68 6
17 69 10
17 70 1
17 71 3
17 75 7
17 83 5
17 88 5
17 92 4
17 99 8
18 23 9
18 28 8
18 44 10
18 54 9
18 65 8
18 66 3
18 68 2
18 70 1
18 72 10
18 77 1
18 84 3
18 85 1
19 28 5
19 41 4
19 45 4
19 46 4
19 47 2
19 50 9
19 56 8
19 59 10
19 61 3
19 64 8
19 68 6
19 69 4
19 71 6
19 74 10
19 80 4
19 88 10
19 93 4
19 97 6
19 98 9
19 99 7
20 28 3
20 30 10
20 34 2
20 35 6
20 37 10
20 48 1
20 50 7
20 56 2
20 57 7
20 60 1
20 63 1
20 64 4
20 66 2
20 70 2
20 73 7
20 79 1
20 91 10
20 93 2
21 22 2
21 32 9
21 34 9
21 41 4
21 54 7
21 67 9
21 68 9
21 78 7
21 79 5
21 80 4
21 83 2
21 86 8
21 87 3
21 94 6
22 23 5
22 24 3
22 26 10
22 27 2
22 40 6
22 43 2
22 51 6
22 60 1
22 61 1
22 67 5
22 68 10
22 71 3
22 73 10
22 75 6
22 83 5
22 86 8
22 89 2
22 95 10
23 27 4
23 29 3
23 32 6
23 39 6
23 44 10
23 55 10
23 57 4
23 60 4
23 64 5
23 65 10
23 69 1
23 78 3
23 80 4
23 91 10
23 97 9
24 26 8
24 39 1
24 51 4
24 61 1
24 63 8
24 65 5
24 70 1
24 82 5
24 88 10
24 93 6
24 96 4
24 97 10
25 26 2
25 28 5
25 31 8
25 36 1
25 38 9
25 40 2
25 42 7
25 51 4
25 57 10
25 60 2
25 66 4
25 68 10
25 74 1
25 79 5
25 84 5
25 88 6
25 91 3
25 97 5
26 28 7
26 36 1
26 39 6
26 41 3
26 44 10
26 46 10
26 56 2
26 61 10
26 63 7
26 65 2
26 68 4
26 71 3
26 86 6
26 88 5
26 90 5
26 91 2
26 95 5
27 35 2
27 52 9
27 57 3
27 64 8
27 68 9
27 69 10
27 81 7
27 83 10
27 92 5
27 95 9
28 41 1
28 43 5
28 47 10
28 49 5
28 53 4
28 55 1
28 56 9
28 58 1
28 68 3
28 71 7
28 98 3
29 35 2
29 37 8
29 43 1
29 45 3
29 52 8
29 59 1
29 69 6
29 71 6
29 72 6
29 73 4
29 82 5
29 96 10
29 99 2
30 47 7
30 48 9
30 51 10
30 52 2
30 53 3
30 64 5
30 65 3
30 68 7
30 72 4
30 73 4
30 80 1
30 85 10
30 91 5
30 98 2
31 40 10
31 41 9
31 43 6
31 45 8
31 51 2
31 60 8
31 70 9
31 75 9
31 85 10
31 90 9
32 34 2
32 37 4
32 39 1
32 40 7
32 45 4
32 47 4
32 49 1
32 56 8
32 57 4
32 67 5
32 69 10
32 72 5
32 73 9
32 76 2
32 81 4
32 98 4
32 99 5
33 40 8
33 42 1
33 48 7
33 50 1
33 63 6
33 64 9
33 65 3
33 71 6
33 72 2
33 83 7
33 88 7
33 98 3
34 38 8
34 40 9
34 41 9
34 45 3
34 47 4
34 55 4
34 59 6
34 61 3
34 67 9
34 71 8
34 74 5
34 75 8
34 77 4
34 87 5
35 42 4
35 50 8
35 55 5
35 59 1
35 60 1
35 64 9
35 75 7
35 95 9
35 98 9
36 39 1
36 41 4
36 46 2
36 52 7
36 56 3
36 65 3
36 70 5
36 80 6
36 96 4
37 41 3
37 42 5
37 44 4
37 45 10
37 54 7
37 58 3
37 70 8
37 72 4
37 73 6
37 84 2
37 87 5
38 42 1
38 46 9
38 48 3
38 65 6
38 67 8
38 68 10
38 82 8
38 85 2
38 91 9
38 94 8
38 96 7
39 43 3
39 59 3
39 62 5
39 66 2
39 68 7
39 69 2
39 70 7
39 71 3
39 82 3
39 83 4
39 88 3
39 89 10
39 90 1
39 92 9
40 42 2
40 53 5
40 54 8
40 60 8
40 64 7
40 73 3
40 79 6
40 80 8
40 82 9
40 89 3
40 90 5
40 92 2
40 94 6
41 43 10
41 45 9
41 47 3
41 49 2
41 52 10
41 55 1
41 76 3
41 77 1
41 79 3
41 87 4
41 89 10
41 90 2
41 91 9
41 93 3
42 56 1
42 64 3
42 71 8
42 75 4
42 85 4
43 48 6
43 52 2
43 58 2
43 76 6
43 82 5
43 83 4
43 99 6
44 47 8
44 51 1
44 55 1
44 57 10
44 58 3
44 76 8
44 79 4
44 80 3
44 86 2
44 88 1
44 92 7
45 47 10
45 51 6
45 54 6
45 68 10
45 69 10
45 74 7
45 82 8
45 84 9
45 85 8
45 86 9
45 93 3
45 97 7
45 98 1
46 50 3
46 52 7
46 55 3
46 59 3
46 64 4
46 69 8
46 77 10
46 79 9
46 81 2
46 83 3
46 85 5
46 86 5
46 96 10
47 50 1
47 56 2
47 60 6
47 66 4
47 67 10
47 80 1
47 82 1
47 84 6
47 96 4
48 51 3
48 62 9
48 75 5
48 76 2
48 82 1
48 93 4
48 97 6
49 54 6
49 59 1
49 64 3
49 66 1
49 68 8
49 71 4
49 73 4
49 78 4
49 82 2
49 96 6
49 98 3
50 53 2
50 65 1
50 66 8
50 78 9
51 57 1
51 70 7
51 73 6
51 76 3
51 80 7
51 83 1
51 89 8
51 97 7
52 54 8
52 58 3
52 62 1
52 70 4
52 74 3
52 75 10
52 76 3
52 77 10
52 80 9
52 82 1
52 86 7
52 87 7
52 90 2
52 91 1
52 93 8
52 94 4
53 57 1
53 59 1
53 65 6
53 71 9
53 72 2
53 73 7
53 74 10
53 77 10
53 78 10
53 81 1
53 92 3
54 55 8
54 57 7
54 58 6
54 59 7
54 61 5
54 71 9
54 83 8
54 87 3
54 88 2
54 95 2
55 63 1
55 75 6
55 77 1
55 85 4
55 92 9
55 94 9
55 97 10
55 98 5
56 62 6
56 66 6
56 68 7
56 86 8
56 88 5
56 95 2
57 58 6
57 70 9
57 82 1
57 88 1
57 91 4
57 93 6
58 59 10
58 60 8
58 68 2
58 70 7
58 82 2
58 86 2
58 90 9
58 94 5
58 99 10
59 68 8
59 69 9
59 70 9
59 76 5
59 77 2
59 80 4
59 82 6
59 92 3
59 93 8
59 95 5
59 98 5
60 62 7
60 64 9
60 66 4
60 83 10
60 87 10
60 89 1
60 99 8
61 71 3
61 82 9
61 83 10
61 94 10
61 96 3
61 98 1
62 76 9
62 78 4
62 79 9
62 83 2
62 95 3
62 96 8
63 88 6
63 90 2
63 94 1
63 96 9
63 99 1
64 78 3
64 92 4
64 94 10
64 99 7
65 71 3
65 74 9
65 78 5
65 80 9
65 90 8
65 97 3
66 67 8
66 70 9
66 72 2
66 78 5
66 80 8
66 87 9
66 89 9
67 71 8
67 72 6
67 73 9
67 76 5
67 80 9
67 90 8
67 94 5
67 95 5
68 72 4
68 75 2
68 80 9
68 96 3
68 98 6
68 99 2
69 71 4
69 73 4
69 82 4
69 86 7
69 87 7
69 88 10
69 91 3
69 93 10
69 96 4
70 74 9
70 78 6
70 86 5
70 98 8
71 75 5
71 77 5
71 87 2
71 92 3
71 97 2
72 82 6
72 83 4
72 90 6
72 92 4
72 93 2
72 96 1
73 82 10
73 83 4
73 95 10
73 98 2
73 99 5
74 78 1
74 80 3
74 84 2
74 91 5
74 96 7
75 76 3
75 83 2
75 88 3
75 93 8
75 96 6
77 93 9
77 94 2
77 95 9
77 96 1
78 82 9
78 87 2
78 91 8
78 94 6
78 97 2
79 92 6
79 96 9
79 98 10
80 97 6
80 99 2
81 82 10
81 87 1
81 94 2
82 84 3
83 84 5
83 90 5
83 92 9
84 93 5
84 96 1
85 91 8
85 93 9
86 93 2
86 94 1
87 90 6
88 97 3
88 98 4
89 92 6
90 94 1
90 95 10
90 96 8
90 98 9
90 99 7
91 96 5
91 99 7
92 95 9
92 98 9
93 94 2
93 97 6
93 99 4
94 96 5
94 99 1
95 97 7
96 99 9
